queue,vehicles
1,1
0,1
0,2
0,2
0,3
0,3
1,4
0,4
0,5
0,5
1,6
0,6
2,7
1,7
1,8
1,8
2,9
1,9
2,10
1,10
2,11
1,11
2,12
1,12
2,13
1,13
1,14
1,14
3,15
3,15
4,16
3,16
5,17
5,16
6,17
7,17
8,18
7,18
7,18
8,19
8,20
7,20
8,21
8,20
8,21
6,21
8,22
7,22
8,22
7,22
8,23
8,23
10,24
9,24
11,25
10,25
11,26
11,26
12,27
11,27
10,26
9,26
9,26
8,26
9,27
10,27
11,28
10,28
12,29
13,28
14,28
15,29
17,30
16,30
18,31
17,31
18,32
17,32
18,33
18,33
20,34
19,34
19,34
20,35
20,36
21,36
22,37
21,37
24,38
23,38
15,39
11,39
7,39
5,39
4,40
4,40
5,41
6,41
7,42
8,43
10,44
10,44
10,45
12,44
13,44
16,43
17,44
17,43
18,43
20,43
21,44
22,44
25,45
24,45
26,46
25,46
26,47
26,47
26,48
25,48
24,48
22,47
22,48
20,48
21,49
22,49
25,50
23,50
25,50
26,51
26,52
26,52
27,52
27,51
29,52
22,52
20,52
15,51
16,52
14,51
15,52
14,52
13,53
11,52
13,53
12,53
15,54
15,54
20,54
19,53
22,54
20,54
20,55
19,55
21,56
20,55
20,56
18,56
19,57
20,56
21,56
21,56
22,56
23,56
25,56
26,55
27,56
28,57
30,57
32,57
33,58
35,58
36,58
36,58
39,58
38,58
39,59
39,59
40,60
41,60
31,61
25,61
20,62
17,60
14,61
12,61
14,62
13,62
13,62
14,62
15,61
17,61
18,60
20,58
23,59
23,58
27,59
27,59
29,60
29,60
30,61
31,61
34,62
34,62
35,62
35,62
36,62
35,62
35,63
34,63
34,65
34,65
34,66
33,66
33,67
33,67
32,67
33,67
32,67
31,67
31,68
29,67
31,68
29,65
33,65
27,65
25,66
24,64
21,63
20,64
19,64
18,62
19,62
18,62
18,62
18,62
18,62
19,61
20,61
22,61
24,63
20,63
20,64
18,64
18,65
17,65
18,65
19,64
21,62
24,62
26,61
27,61
30,57
31,57
32,57
33,57
35,58
37,57
38,57
38,57
39,58
39,57
39,57
40,56
40,57
41,57
42,58
43,58
44,59
43,59
36,60
28,60
22,61
18,60
17,61
16,60
17,60
18,60
19,61
19,61
22,62
21,62
21,63
24,63
24,63
25,62
27,62
28,61
30,62
32,61
34,62
35,63
35,64
35,63
37,62
37,63
37,64
36,63
36,64
34,64
33,65
30,65
28,65
29,66
27,66
25,64
25,63
24,63
23,63
23,63
24,64
25,64
26,62
26,63
28,64
21,63
20,64
17,64
17,64
18,64
19,65
19,64
19,63
22,62
23,63
23,63
25,63
27,63
29,64
29,65
30,66
28,66
29,66
30,66
33,66
34,66
36,66
37,66
37,67
36,67
37,67
38,67
41,69
39,69
41,70
41,69
42,70
43,70
45,70
45,70
47,69
47,69
47,69
47,69
49,69
51,70
53,71
53,69
53,69
57,71
41,72
30,72
25,73
22,71
18,72
18,71
15,71
14,71
14,72
14,71
13,70
13,69
18,69
19,69
20,69
22,69
24,69
22,69
25,70
22,68
25,68
25,66
26,65
27,64
31,65
31,66
35,67
35,68
36,69
36,69
36,68
37,68
36,68
34,68
36,69
37,68
38,69
36,69
37,71
36,71
38,71
38,70
39,70
42,70
44,70
38,69
35,70
31,70
31,71
29,71
30,72
29,72
30,73
28,73
30,74
33,74
35,75
34,75
36,76
34,76
36,75
31,75
32,74
32,74
32,75
30,75
31,77
31,76
33,77
33,75
33,76
33,75
34,74
36,75
35,75
37,75
38,76
39,76
43,76
42,76
42,75
44,76
45,77
46,76
47,76
46,76
47,76
48,75
50,76
50,76
45,77
38,77
35,78
28,78
26,79
22,79
23,78
21,77
22,77
21,77
22,77
21,75
23,76
23,76
27,77
28,76
29,77
29,77
31,77
31,77
35,77
34,77
38,78
38,76
42,78
41,78
41,78
42,77
43,77
40,77
39,78
34,78
34,79
35,79
35,79
35,78
37,79
41,78
44,77
43,77
43,77
41,76
44,77
44,76
47,77
41,77
37,78
32,74
31,75
30,75
